yexp,mi,xexp,pf,meio
3.94E+09,8.910E-04,8.00E-03,997.05,50
5.02E+09,8.910E-04,1.25E-02,997.05,50
6.38E+09,8.910E-04,1.48E-02,997.05,50
7.27E+09,8.910E-04,1.73E-02,997.05,50
8.15E+09,8.910E-04,1.93E-02,997.05,50
9.18E+09,8.910E-04,2.06E-02,997.05,50
9.86E+09,8.910E-04,2.24E-02,997.05,50
2.17E+09,8.910E-04,7.27E-03,997.05,120
2.97E+09,8.910E-04,1.06E-02,997.05,120
4.32E+09,8.910E-04,1.46E-02,997.05,120
5.28E+09,8.910E-04,1.79E-02,997.05,120
6.00E+09,8.910E-04,2.10E-02,997.05,120
6.55E+09,8.910E-04,2.40E-02,997.05,120



